,Algorithm,Model,Dataset,AUC Score,Weighted F1 Score,K Kold,Repeatition,Scenario,CV Method
158,SVC,Trimmed Data Optimized,Test,0.705858,0.737042,3,2,No SMOTE,K3R2
159,DT,Trimmed Data Optimized,Training,0.99759,0.963262,3,2,No SMOTE,K3R2
160,DT,Trimmed Data Optimized,Test,0.673676,0.716045,3,2,No SMOTE,K3R2
161,LR,Full Data Optimized,Training,0.74621,0.736656,3,3,No SMOTE,K3R3
162,LR,Full Data Optimized,Test,0.689368,0.682535,3,3,No SMOTE,K3R3
163,RFC,Full Data Optimized,Training,0.970451,0.936357,3,3,No SMOTE,K3R3
164,RFC,Full Data Optimized,Test,0.79496,0.758705,3,3,No SMOTE,K3R3
165,SVC,Full Data Optimized,Training,0.999279,0.997954,3,3,No SMOTE,K3R3
166,SVC,Full Data Optimized,Test,0.71351,0.738982,3,3,No SMOTE,K3R3
167,DT,Full Data Optimized,Training,1,1,3,3,No SMOTE,K3R3
168,DT,Full Data Optimized,Test,0.616374,0.712149,3,3,No SMOTE,K3R3
169,LR,Trimmed Data Optimized,Training,0.750666,0.7183,3,3,No SMOTE,K3R3
170,LR,Trimmed Data Optimized,Test,0.69483,0.71531,3,3,No SMOTE,K3R3
171,RFC,Trimmed Data Optimized,Training,0.9972,0.941866,3,3,No SMOTE,K3R3
172,RFC,Trimmed Data Optimized,Test,0.772433,0.796841,3,3,No SMOTE,K3R3
173,SVC,Trimmed Data Optimized,Training,0.998753,0.990633,3,3,No SMOTE,K3R3
174,SVC,Trimmed Data Optimized,Test,0.705858,0.737042,3,3,No SMOTE,K3R3
175,DT,Trimmed Data Optimized,Training,0.990713,0.930936,3,3,No SMOTE,K3R3
176,DT,Trimmed Data Optimized,Test,0.6587,0.733016,3,3,No SMOTE,K3R3
177,LR,Full Data Optimized,Training,0.74621,0.736656,3,4,No SMOTE,K3R4
178,LR,Full Data Optimized,Test,0.689368,0.682535,3,4,No SMOTE,K3R4
179,RFC,Full Data Optimized,Training,0.970451,0.936357,3,4,No SMOTE,K3R4
180,RFC,Full Data Optimized,Test,0.79496,0.758705,3,4,No SMOTE,K3R4
181,SVC,Full Data Optimized,Training,0.999279,0.997954,3,4,No SMOTE,K3R4
182,SVC,Full Data Optimized,Test,0.71351,0.738982,3,4,No SMOTE,K3R4
183,DT,Full Data Optimized,Training,1,1,3,4,No SMOTE,K3R4
184,DT,Full Data Optimized,Test,0.616374,0.712149,3,4,No SMOTE,K3R4
185,LR,Trimmed Data Optimized,Training,0.750666,0.7183,3,4,No SMOTE,K3R4
186,LR,Trimmed Data Optimized,Test,0.69483,0.71531,3,4,No SMOTE,K3R4
187,RFC,Trimmed Data Optimized,Training,0.9972,0.941866,3,4,No SMOTE,K3R4
188,RFC,Trimmed Data Optimized,Test,0.772433,0.796841,3,4,No SMOTE,K3R4
189,SVC,Trimmed Data Optimized,Training,0.998753,0.990633,3,4,No SMOTE,K3R4
190,SVC,Trimmed Data Optimized,Test,0.705858,0.737042,3,4,No SMOTE,K3R4
191,DT,Trimmed Data Optimized,Training,0.99759,0.963262,3,4,No SMOTE,K3R4
192,DT,Trimmed Data Optimized,Test,0.673676,0.716045,3,4,No SMOTE,K3R4
193,LR,Full Data Optimized,Training,0.74621,0.736656,4,2,No SMOTE,K4R2
194,LR,Full Data Optimized,Test,0.689368,0.682535,4,2,No SMOTE,K4R2
195,RFC,Full Data Optimized,Training,0.970451,0.936357,4,2,No SMOTE,K4R2
196,RFC,Full Data Optimized,Test,0.79496,0.758705,4,2,No SMOTE,K4R2
197,SVC,Full Data Optimized,Training,0.999279,0.997954,4,2,No SMOTE,K4R2
198,SVC,Full Data Optimized,Test,0.71351,0.738982,4,2,No SMOTE,K4R2
199,DT,Full Data Optimized,Training,1,1,4,2,No SMOTE,K4R2
200,DT,Full Data Optimized,Test,0.616374,0.712149,4,2,No SMOTE,K4R2
201,LR,Trimmed Data Optimized,Training,0.75223,0.722792,4,2,No SMOTE,K4R2
202,LR,Trimmed Data Optimized,Test,0.69607,0.722458,4,2,No SMOTE,K4R2
203,RFC,Trimmed Data Optimized,Training,0.99151,0.883348,4,2,No SMOTE,K4R2
204,RFC,Trimmed Data Optimized,Test,0.766438,0.804992,4,2,No SMOTE,K4R2
205,SVC,Trimmed Data Optimized,Training,0.99818,0.994772,4,2,No SMOTE,K4R2
206,SVC,Trimmed Data Optimized,Test,0.704632,0.737042,4,2,No SMOTE,K4R2
207,DT,Trimmed Data Optimized,Training,0.990964,0.92896,4,2,No SMOTE,K4R2
208,DT,Trimmed Data Optimized,Test,0.719116,0.731603,4,2,No SMOTE,K4R2
209,LR,Full Data Optimized,Training,0.74621,0.736656,4,3,No SMOTE,K4R3
210,LR,Full Data Optimized,Test,0.689368,0.682535,4,3,No SMOTE,K4R3
211,RFC,Full Data Optimized,Training,0.970451,0.936357,4,3,No SMOTE,K4R3
212,RFC,Full Data Optimized,Test,0.79496,0.758705,4,3,No SMOTE,K4R3
213,SVC,Full Data Optimized,Training,0.999279,0.997954,4,3,No SMOTE,K4R3
214,SVC,Full Data Optimized,Test,0.71351,0.738982,4,3,No SMOTE,K4R3
215,DT,Full Data Optimized,Training,1,1,4,3,No SMOTE,K4R3
216,DT,Full Data Optimized,Test,0.616374,0.712149,4,3,No SMOTE,K4R3
217,LR,Trimmed Data Optimized,Training,0.75223,0.722792,4,3,No SMOTE,K4R3
218,LR,Trimmed Data Optimized,Test,0.69607,0.722458,4,3,No SMOTE,K4R3
219,RFC,Trimmed Data Optimized,Training,0.99151,0.883348,4,3,No SMOTE,K4R3
220,RFC,Trimmed Data Optimized,Test,0.766438,0.804992,4,3,No SMOTE,K4R3
221,SVC,Trimmed Data Optimized,Training,0.99818,0.994772,4,3,No SMOTE,K4R3
222,SVC,Trimmed Data Optimized,Test,0.704632,0.737042,4,3,No SMOTE,K4R3
223,DT,Trimmed Data Optimized,Training,0.990964,0.92896,4,3,No SMOTE,K4R3
224,DT,Trimmed Data Optimized,Test,0.719116,0.731603,4,3,No SMOTE,K4R3
225,LR,Full Data Optimized,Training,0.74621,0.736656,4,4,No SMOTE,K4R4
226,LR,Full Data Optimized,Test,0.689368,0.682535,4,4,No SMOTE,K4R4
227,RFC,Full Data Optimized,Training,0.970451,0.936357,4,4,No SMOTE,K4R4
228,RFC,Full Data Optimized,Test,0.79496,0.758705,4,4,No SMOTE,K4R4
229,SVC,Full Data Optimized,Training,0.999279,0.997954,4,4,No SMOTE,K4R4
230,SVC,Full Data Optimized,Test,0.71351,0.738982,4,4,No SMOTE,K4R4
231,DT,Full Data Optimized,Training,1,1,4,4,No SMOTE,K4R4
232,DT,Full Data Optimized,Test,0.616374,0.712149,4,4,No SMOTE,K4R4
233,LR,Trimmed Data Optimized,Training,0.75223,0.722792,4,4,No SMOTE,K4R4
234,LR,Trimmed Data Optimized,Test,0.69607,0.722458,4,4,No SMOTE,K4R4
235,RFC,Trimmed Data Optimized,Training,0.9972,0.941866,4,4,No SMOTE,K4R4
236,RFC,Trimmed Data Optimized,Test,0.772433,0.796841,4,4,No SMOTE,K4R4
237,SVC,Trimmed Data Optimized,Training,0.998753,0.990633,4,4,No SMOTE,K4R4
238,SVC,Trimmed Data Optimized,Test,0.705858,0.737042,4,4,No SMOTE,K4R4
239,DT,Trimmed Data Optimized,Training,0.99759,0.963262,4,4,No SMOTE,K4R4
240,DT,Trimmed Data Optimized,Test,0.673676,0.716045,4,4,No SMOTE,K4R4
241,LR,Full Data Optimized,Training,0.74621,0.736656,5,2,No SMOTE,K5R2
242,LR,Full Data Optimized,Test,0.689368,0.682535,5,2,No SMOTE,K5R2
243,RFC,Full Data Optimized,Training,0.970451,0.936357,5,2,No SMOTE,K5R2
244,RFC,Full Data Optimized,Test,0.79496,0.758705,5,2,No SMOTE,K5R2
245,SVC,Full Data Optimized,Training,0.999279,0.997954,5,2,No SMOTE,K5R2
246,SVC,Full Data Optimized,Test,0.71351,0.738982,5,2,No SMOTE,K5R2
247,DT,Full Data Optimized,Training,1,1,5,2,No SMOTE,K5R2
248,DT,Full Data Optimized,Test,0.616374,0.712149,5,2,No SMOTE,K5R2
249,LR,Trimmed Data Optimized,Training,0.750666,0.7183,5,2,No SMOTE,K5R2
250,LR,Trimmed Data Optimized,Test,0.69483,0.71531,5,2,No SMOTE,K5R2
251,RFC,Trimmed Data Optimized,Training,0.9972,0.941866,5,2,No SMOTE,K5R2
252,RFC,Trimmed Data Optimized,Test,0.772433,0.796841,5,2,No SMOTE,K5R2
253,SVC,Trimmed Data Optimized,Training,0.998753,0.990633,5,2,No SMOTE,K5R2
254,SVC,Trimmed Data Optimized,Test,0.705858,0.737042,5,2,No SMOTE,K5R2
255,DT,Trimmed Data Optimized,Training,0.99759,0.963262,5,2,No SMOTE,K5R2
256,DT,Trimmed Data Optimized,Test,0.673676,0.716045,5,2,No SMOTE,K5R2
257,LR,Full Data Optimized,Training,0.74621,0.736656,5,3,No SMOTE,K5R3
258,LR,Full Data Optimized,Test,0.689368,0.682535,5,3,No SMOTE,K5R3
259,RFC,Full Data Optimized,Training,0.970451,0.936357,5,3,No SMOTE,K5R3
260,RFC,Full Data Optimized,Test,0.79496,0.758705,5,3,No SMOTE,K5R3
261,SVC,Full Data Optimized,Training,0.999279,0.997954,5,3,No SMOTE,K5R3
262,SVC,Full Data Optimized,Test,0.71351,0.738982,5,3,No SMOTE,K5R3
263,DT,Full Data Optimized,Training,1,1,5,3,No SMOTE,K5R3
264,DT,Full Data Optimized,Test,0.616374,0.712149,5,3,No SMOTE,K5R3
265,LR,Trimmed Data Optimized,Training,0.742204,0.716434,5,3,No SMOTE,K5R3
266,LR,Trimmed Data Optimized,Test,0.695975,0.711638,5,3,No SMOTE,K5R3
267,RFC,Trimmed Data Optimized,Training,0.995272,0.88464,5,3,No SMOTE,K5R3
268,RFC,Trimmed Data Optimized,Test,0.772415,0.78524,5,3,No SMOTE,K5R3
269,SVC,Trimmed Data Optimized,Training,0.999044,0.990633,5,3,No SMOTE,K5R3
270,SVC,Trimmed Data Optimized,Test,0.702728,0.737042,5,3,No SMOTE,K5R3
271,DT,Trimmed Data Optimized,Training,1,1,5,3,No SMOTE,K5R3
272,DT,Trimmed Data Optimized,Test,0.667634,0.732853,5,3,No SMOTE,K5R3
273,LR,Full Data Optimized,Training,0.74621,0.736656,5,4,No SMOTE,K5R4
274,LR,Full Data Optimized,Test,0.689368,0.682535,5,4,No SMOTE,K5R4
275,RFC,Full Data Optimized,Training,0.970451,0.936357,5,4,No SMOTE,K5R4
276,RFC,Full Data Optimized,Test,0.79496,0.758705,5,4,No SMOTE,K5R4
277,SVC,Full Data Optimized,Training,0.999279,0.997954,5,4,No SMOTE,K5R4
278,SVC,Full Data Optimized,Test,0.71351,0.738982,5,4,No SMOTE,K5R4
279,DT,Full Data Optimized,Training,1,1,5,4,No SMOTE,K5R4
280,DT,Full Data Optimized,Test,0.616374,0.712149,5,4,No SMOTE,K5R4
281,LR,Trimmed Data Optimized,Training,0.742204,0.716434,5,4,No SMOTE,K5R4
282,LR,Trimmed Data Optimized,Test,0.695975,0.711638,5,4,No SMOTE,K5R4
283,RFC,Trimmed Data Optimized,Training,0.995272,0.88464,5,4,No SMOTE,K5R4
284,RFC,Trimmed Data Optimized,Test,0.772415,0.78524,5,4,No SMOTE,K5R4
285,SVC,Trimmed Data Optimized,Training,0.999044,0.990633,5,4,No SMOTE,K5R4
286,SVC,Trimmed Data Optimized,Test,0.702728,0.737042,5,4,No SMOTE,K5R4
287,DT,Trimmed Data Optimized,Training,1,1,5,4,No SMOTE,K5R4
288,DT,Trimmed Data Optimized,Test,0.667634,0.732853,5,4,No SMOTE,K5R4
289,LR,Full Data Optimized,Training,0.732115,0.649443,3,2,SMOTE on Training,K3R2
290,LR,Full Data Optimized,Test,0.676592,0.603152,3,2,SMOTE on Training,K3R2
291,RFC,Full Data Optimized,Training,0.980197,0.909794,3,2,SMOTE on Training,K3R2
292,RFC,Full Data Optimized,Test,0.767262,0.756938,3,2,SMOTE on Training,K3R2
293,SVC,Full Data Optimized,Training,0.935211,0.87098,3,2,SMOTE on Training,K3R2
294,SVC,Full Data Optimized,Test,0.739442,0.739543,3,2,SMOTE on Training,K3R2
295,DT,Full Data Optimized,Training,0.944522,0.865373,3,2,SMOTE on Training,K3R2
296,DT,Full Data Optimized,Test,0.639188,0.677114,3,2,SMOTE on Training,K3R2
297,LR,Trimmed Data Optimized,Training,0.734179,0.635123,3,2,SMOTE on Training,K3R2
