AssetID,Invest_ID,Address,Asset_Type,StreetWater,Inspection Date,Depth,Clogging,Clogging score,Clog_Flooding,C_Flood no missing,Cons. location (C/F),Cons. location (C/F) score,Flooding design std.,flood design score,Flood_Resp,Flood_LOF,Flood_COF,Flood_Risk,Crit_Defect,Cond_Resp,Cond_LOF,Cond_COF,Cond_Risk,LOF,COF,Risk,OBJECTID,PIPE_ID,INV_DATE,TYPE,PI_SHAPE,PI_SHP_OTH,PACP_Shape,"DIAMETER,FT",DIAM_OTHER,PIPE_RISE,PIPE_SPAN,"PACP_Heigh, IN",PACP_Width,PACP_Notes,MATERIAL,PACP_Mater,US_ID,US_DEPTH,US_INVERT,US_ELEV,US_FUNC,DS_ID,DS_DEPTH,DS_INVERT,DS_ELEV,DS_FUNC,SLOPE,ENABLED,CONST_DATE,Age at inspection,Active,EditDate,ShapeSTLen,MUKEY,Soil Type,soil descriptio,hydrologic,Hydro  group encoded,"Precipitation, mon avg, in."
81644,11093,4625 Colony Rd,pipe,yes,3/20/2018,25.5,less_than_25%,0,no,no,n_a,0,,2,10,1.3,4.4,5.72,1,10,7,8.9,62.3,4.72,7.1,33.512,7669035,CHARX.64652-P,10/6/2009,Pipe,Circular, ,C,5.5,0,0,0,66,0, ,Concrete,RCP,CHARX.64652,7,614,621,Yes,CHARX.64656,5.8,605.2,611,Yes,0.03745,1,1/1/1980,38.22,1,2/1/2021,234.7967507,113694,WkE,"Wilkes loam, 15 to 25 percent slopes",D,4,3.769
81726,19843,4531 Mullens Ford Rd,pipe,yes,9/29/2020,7,,0,no,no,,0,unknown,2,0,1.3,1.4,1.82,1,10,2.8,4.7,13.16,2.2,3.38,7.436,7579920,CHARX.65382-P,10/7/2009,Pipe,Circular, ,C,3.5,0,0,0,42,0, ,Metal or Steel,CMP,CHARX.65382,7.2,662.8,670,Yes,CHARX.65384,6.7,656.3,663,Yes,0.0282,1,7/28/1975,45.18,1,3/26/2018,230.1335491,113681,MkB,"Mecklenburg-Urban land complex, 2 to 8 percent slopes",C,2,3.776
82001,21761,4319 Belknap Rd,pipe,yes,2/25/2021,4,,0,no,no,,0,unknown,2,0,1.3,0.8,1.04,1,0,7.8,1.7,13.26,5.2,1.34,6.968,7595388,MCM511-0242-P,10/8/2009,Pipe,Circular, ,C,1.25,0,0,0,15,0, ,Concrete,RCP,MCM511-0242,4,652,656,Yes,MCM511-0243,1.5,624.5,626,Yes,0.126535,0,6/30/1974,46.66,1,3/26/2018,217.3350862,113659,CeD2,"Cecil sandy clay loam, 8 to 15 percent slopes, eroded",B,1,3.769
82045,22858,1930 PHEASANT GLEN RD,structure,yes,5/21/2021,5.5,less_than_25%,0,no,no,,0,,2,0,1.3,1.4,1.82,1,0,8.6,2.3,19.78,5.68,1.94,11.0192,7562318,INVEN.75354-P,10/9/2009,Pipe,Circular, ,C,2.5,0,0,0,30,0, ,Concrete,RCP,INVEN.75354,4.5,708.5,713,Yes,INVEN.75356,6.8,707.2,714,Yes,0.03813552,0,10/10/2001,19.61,1,3/2/2021,34.08895262,113659,CeD2,"Cecil sandy clay loam, 8 to 15 percent slopes, eroded",B,1,3.75
82090,11194,1634 Red Robin St,pipe,yes,4/22/2020,15,between_25%_to_50%,5,no,no,local,6,meets_cds,0,10,1.75,7.1,12.425,1,0,1.4,2.9,4.06,1.54,4.58,7.0532,7552855,INVEN.75368-P,10/10/2009,Pipe,Circular, ,C,5,0,0,0,60,0, ,Concrete,RCP,INVEN.75368,5.5,692.5,698,Yes,INVEN.75934,5,688,693,Yes,0.05324619,0,10/10/2001,18.53,1,3/2/2021,84.513083,113659,CeD2,"Cecil sandy clay loam, 8 to 15 percent slopes, eroded",B,1,3.75
82538,23905,14924 Aven Creek CT,structure,yes,8/27/2021,7.5,less_than_25%,0,no,no,,0,,2,0,1.3,1.4,1.82,1,0,5.4,2.3,12.42,3.76,1.94,7.2944,7575027,MCM512-0051-P,10/11/2009,Pipe,Circular, ,C,1.25,0,0,0,15,0, ,Concrete,RCP,MCM512-0051,5.4,605.6,611,Yes,MCM512-0050,1.4,602.6,604,Yes,0.09977644,0,6/30/1974,47.16,1,2/16/2021,30.06722431,113660,CuB,"Cecil-Urban land complex, 2 to 8 percent slopes",B,1,3.768
82561,22011,10735 HUNTINGTON MEADOW LN,structure,yes,3/30/2021,1.5,between_25%_to_50%,5,no,no,,0,,2,5,3.05,1.55,4.7275,1,5,3,2.45,7.35,3.02,2.09,6.3118,7712977,MCM512-0076-P,10/12/2009,Pipe,Circular, ,C,1.25,0,0,0,15,0, ,Concrete,RCP,MCM512-0076,4.2,617.8,622,Yes,MCM512-0075,4.3,617.7,622,Yes,0.00448985,0,5/5/2004,16.90,1,2/16/2021,22.27240594,113659,CeD2,"Cecil sandy clay loam, 8 to 15 percent slopes, eroded",B,1,3.769
82669,11738,2718 WAMATH DR,pipe,yes,10/21/2019,6,less_than_25%,0,no,no,,0,,2,0,1.3,1.4,1.82,1,0,7.8,4.1,31.98,5.2,3.02,15.704,7673293,MCM512-0204-P,10/13/2009,Pipe,Circular, ,C,2.5,0,0,0,30,0, ,Concrete,RCP,MCM512-0204,7,668,675,Yes,CHARX.64727,4,664,668,Yes,0.03215596,0,7/25/1977,42.24,1,2/16/2021,124.3935079,113658,CeB2,"Cecil sandy clay loam, 2 to 8 percent slopes, eroded",B,1,3.759
82975,17375,2116 Back Creek Church Rd,pipe,yes,5/1/2020,3.75,between_25%_to_50%,5,no,no,driveway_private_drive,4,fails_retrofit,8,0,6.95,2.6,18.07,3,0,10,3.5,35,8.78,3.14,27.5692,7701060,BAC033.0020-PP,10/14/2009,Pipe, , ,Z,0,0,0,0,0,0, , ,XXX,BAC033.0020,0,0,0,Yes,BAC033.0021,0,0,0,Yes,0,0,1/1/1994,26.33,1,3/26/2018,24.39243011,113677,MO,Monacan loam,C,2,3.868
83180,13029,10101 Wood Ct,structure,yes,2/25/2020,2.5,greater_than_75%,10,no,no,,0,,2,0,4.8,0.8,3.84,1,0,2.8,0.8,2.24,3.6,0.8,2.88,7556062,INVEN.34973-PP,10/15/2009,Pipe,Circular, ,C,1.5,0,0,0,18,0, ,Concrete,RCP,INVEN.34973,4.4,725,729.4,Yes,INVEN.34975,4.1,724.7,728.8,Yes,0.00748258,0,5/19/2004,15.77,1,3/26/2018,40.09339035,113659,CeD2,"Cecil sandy clay loam, 8 to 15 percent slopes, eroded",B,1,3.762
