Asset Type,Inspection Date,Depth,Cons Location Score,Flood Design Score,INV DATE,PACP Shape,PACP Height,PACP Mater,CONST DATE,Length,Encoded Hydro Group,Precipitation,Risk
pipe,44175.71,2,0,2,44144,C,18,RCP,34150,34.86858234,3,3.747,2.884
pipe,44165.71,6.25,0,2,42677,C,30,RCP,39994,145.1794046,2,3.739,10.088
pipe,43777.67,3.5,6,0,44048,C,15,RCP,38070,135.4940831,1,3.736,7.056
pipe,43777.67,5,6,0,44048,C,15,RCP,38070,50.75351153,1,3.736,3.2928
pipe,44323.67,3.2,0,2,42814,C,36,RCP,23012,41.50349953,1,3.757,9.0944
pipe,43777.67,4,6,0,44048,C,15,RCP,38070,24.70979547,1,3.736,3.2928
pipe,44063.67,6.9,6,2,43671,C,36,RCP,27603,28.4014197,2,3.72,18.368
structure,44420.67,3.5,0,2,38217,C,15,RCP,37437,37.9930199,1,3.903,8.424
structure,44004.67,8,8,2,41681,C,15,RCP,28671,20.70331383,1,3.734,6.3296
structure,44004.67,8.3,8,2,38259,C,30,RCP,41304,21.85565052,1,3.901,7.0656
pipe,44151.71,1.75,0,2,38259,C,15,RCP,41304,43.76630107,1,3.906,16.3664
pipe,44151.71,1.75,8,8,38259,C,15,RCP,32143,83.36439292,1,3.906,14.6544
pipe,42983.67,10,8,3,43187,C,72,CMP,28471,115.5313437,2,3.793,43.65
structure,44384.67,8,0,2,43871,C,30,RCP,23743,276.6661886,4,3.729,16.9952
pipe,44050.67,5,0,2,43199,C,15,RCP,27210,243.8383892,1,3.791,14.0768
pipe,44435.67,6.5,0,2,37901,C,36,RCP,36266,116.05225,1,3.748,10.088
pipe,44355.67,5,0,3,43199,C,48,RCP,38961,96.11589656,1,3.793,6.396
pipe,44033.67,4.5,0,2,42775,C,36,CMP,27210,50.61785733,1,3.796,21.2004
structure,43923.67,5.5,0,2,43220,C,30,RCP,39290,135.6795089,1,3.787,23.6
structure,43774.71,7.6,6,2,40077,C,18,RCP,28331,25.74391073,4,3.761,29.264
structure,44011.67,3.2,6,2,43216,C,24,RCP,40274,16.85957633,1,3.787,4.5632
structure,44011.67,4.3,6,2,43216,C,24,RCP,40274,94.27601252,1,3.787,4.5632
pipe,44340.67,5,0,0,43278,C,30,RCP,42599,120.8521813,2,3.807,2.8896
pipe,43467.67,8.85,8,10,42020,C,96,CMP,40203,41.61773336,2,3.849,54.108
pipe,43917.67,3,6,2,43577,C,15,RCP,30132,228.0789381,4,3.719,10.3976
pipe,43955.67,9.5,6,0,39478,C,54,RCP,36693,64.57307427,2,3.816,27.72
pipe,43955.67,9.5,6,0,39478,C,54,RCP,36693,69.07315051,2,3.816,27.72
pipe,44169.67,3.4,6,0,44207,C,30,RCP,30046,115.2212876,4,3.717,12.768
pipe,44169.67,3.5,6,0,43573,C,18,RCP,30046,20.18000137,4,3.717,15.1164
pipe,44285.71,2.5,0,2,39602,C,15,RCP,37202,115.3607615,3,3.701,13.794
pipe,44351.67,3.5,0,2,44089,C,15,RCP,31229,130.6909596,1,3.76,4.3952
